itr,IS_mean,IS_std,FID,_stamp
2000,3.9321396350860596,0.04040290787816048,86.23454280106671,1764891153.3446198
4000,5.016731262207031,0.05154029279947281,63.116437132388114,1764891424.1082616
6000,5.358500003814697,0.04237125441431999,63.83740241490705,1764891696.0083268
8000,5.444235324859619,0.05322635918855667,65.24908664492744,1764891970.62793
10000,5.532441139221191,0.05883729085326195,64.53211771483575,1764892243.7139006
